Department_ID,Department_name,batch_list
CSE,Computer Science & Engineering,
ECE,Electronics & Communication Engineering,
CSEAI,Computer Science & Engineering ((Artificial Intelligence)),
CSEIOT,Computer Science & Engineering ,
CSBS,Computer Science & Business Systems,
IT,Information Technology,
ME,Mechenical Engineering,
